failure_scenario,variant,fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high,bounded_effect_note
F11,V0,10,RAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,10,DAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,10,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,10,DER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,2,RAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,2,DAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,2,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,2,DER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,5,RAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,5,DAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,5,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,5,DER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V0,5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,10,RAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,10,DAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,10,RRR,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,2,RAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,2,DAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,2,RRR,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
F11,V1,5,RAF,10,6.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,RAF increases while DAF/DER indicate whether downstream effects remained bounded
